parcel_id,address,lot_size_sqft,zoning,max_height_ft,setback_front_ft,setback_side_ft,setback_rear_ft,allowed_units,max_far,est_buildable_sqft,cost_category,rent_category,feasibility,notes
04000100073,1319 DECATUR ST,7800,RESIDENTIAL URBAN-1,,,,,,,,,,YES,urban infill
04000100071,1329 DECATUR ST,7800,RESIDENTIAL URBAN-1,,,,,,,,,,YES,urban infill
04000500015,1332 DECATUR ST,6780,RESIDENTIAL URBAN-1,,,,,,,,,,YES,urban infill
04000500016,1340 DECATUR ST,3390,RESIDENTIAL URBAN-1,,,,,,,,,,EDGE,small urban lot
04000500022,1364 DECATUR ST,5175,RESIDENTIAL URBAN-1,,,,,,,,,,YES,urban infill
04000100059,1387 DECATUR ST,7020,RESIDENTIAL URBAN-1,,,,,,,,,,YES,urban infill
02105100029,1146 GERARD ST,5120,RESIDENTIAL URBAN-1,,,,,,,,,,YES,urban infill
02105100030,1150 GERARD ST,6400,RESIDENTIAL URBAN-1,,,,,,,,,,YES,urban infill
02105100031,0 GERARD ST,6220,RESIDENTIAL URBAN-1,,,,,,,,,,YES,urban infill
02105100040,1173 GERARD ST,9592,RESIDENTIAL URBAN-1,,,,,,,,,,YES,urban infill
02105100034,1176 GERARD ST,7988,RESIDENTIAL URBAN-1,,,,,,,,,,YES,urban infill
02105100035,1180 GERARD ST,10930,RESIDENTIAL URBAN-1,,,,,,,,,,YES,urban infill
04000600014,1307 KNEY ST,4256,RESIDENTIAL URBAN-1,,,,,,,,,,EDGE,small urban lot
02703400035,0 PEARCE ST,10000,MEDIUM DENSITY RESIDENTiAL,,,,,,,,,,YES,standard MDR
02703400036,834 PEARCE ST,10000,MEDIUM DENSITY RESIDENTIAL,,,,,,,,,,YES,standard MDR
02034000038,840 PEARCE ST,5000,MEDIUM DENSITY RESIDENTIAL,,,,,,,,,,EDGE,small MDR lot
02703400037,838 PEARCE ST,5000,MEDIUM DENSITY RESIDENTIAL,,,,,,,,,,EDGE,small MDR lot
02703400039,846 PEARCE ST,10000,MEDIUM DENSITY RESIDENTIAL,,,,,,,,,,YES,standard MDR
02703400041,856 PEARCE ST,10000,MEDIUM DENSITY RESIDENTIAL,,,,,,,,,,YES,standard MDR
02703400045,876 PEARCE ST,10000,MEDIUM DENSITY RESIDENTIAL,,,,,,,,,,YES,standard MDR
02703100008,777 AYERS ST,4128,MEDIUM DENSITY RESIDENTIAL,,,,,,,,,,EDGE,corner / parking tight
02703100009,781 AYERS ST,4128,MEDIUM DENSITY RESIDENTIAL,,,,,,,,,,EDGE,corner / parking tight
02703100010,785 AYERS ST,4128,MEDIUM DENSITY RESIDENTIAL,,,,,,,,,,EDGE,small MDR lot
02703100011,789 AYERS ST,4128,MEDIUM DENSITY RESIDENTIAL,,,,,,,,,,EDGE,small MDR lot
02703100012,793 AYERS ST,4128,MEDIUM DENSITY RESIDENTIAL,,,,,,,,,,EDGE,small MDR lot
02703100013,797 AYERS ST,4128,MEDIUM DENSITY RESIDENTIAL,,,,,,,,,,EDGE,small MDR lot
02703200001,800 AYERS ST,5000,MEDIUM DENSITY RESIDENTIAL,,,,,,,,,,EDGE,small MDR lot
02703200002,804 AYERS ST,5000,MEDIUM DENSITY RESIDENTIAL,,,,,,,,,,EDGE,small MDR lot
02703200003,808 AYERS ST,5000,MEDIUM DENSITY RESIDENTIAL,,,,,,,,,,EDGE,small MDR lot
02703200004,812 AYERS ST,5000,MEDIUM DENSITY RESIDENTIAL,,,,,,,,,,EDGE,small MDR lot
02703200005,816 AYERS ST,5000,MEDIUM DENSITY RESIDENTIAL,,,,,,,,,,EDGE,small MDR lot
02703300006,820 AYERS ST,6000,MEDIUM DENSITY RESIDENTIAL,,,,,,,,,,EDGE,small MDR lot
02703300007,824 AYERS ST,6000,MEDIUM DENSITY RESIDENTIAL,,,,,,,,,,EDGE,small MDR lot
02703300008,828 AYERS ST,6000,MEDIUM DENSITY RESIDENTIAL,,,,,,,,,,EDGE,small MDR lot
02703300009,832 AYERS ST,6000,MEDIUM DENSITY RESIDENTIAL,,,,,,,,,,EDGE,small MDR lot
02703300010,836 AYERS ST,6000,MEDIUM DENSITY RESIDENTIAL,,,,,,,,,,EDGE,small MDR lot
02703300011,840 AYERS ST,6000,MEDIUM DENSITY RESIDENTIAL,,,,,,,,,,EDGE,small MDR lot
02703300012,844 AYERS ST,6000,MEDIUM DENSITY RESIDENTIAL,,,,,,,,,,EDGE,small MDR lot
02703300013,848 AYERS ST,6000,MEDIUM DENSITY RESIDENTIAL,,,,,,,,,,EDGE,small MDR lot
02703300014,852 AYERS ST,6000,MEDIUM DENSITY RESIDENTIAL,,,,,,,,,,EDGE,small MDR lot
02703300015,856 AYERS ST,6000,MEDIUM DENSITY RESIDENTIAL,,,,,,,,,,EDGE,small MDR lot
